,Unnamed: 0,Unnamed: 0.1,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,mean,class
14,14,0,14.0,14.0,51.0,2.0,0.0,0.0,0.0,0.0,0.48146394,0.0,0.0,-829.2746,-3.0478997,72.36587,72.36587,72.53224,72.2522,-1.0,-1.0,96.53151,1.9047921,0.010582432,0.98496044,0.539704,-78.41155,24.165644,-1.0,0.0,0.0,0.024783652,0.00048223682,0.15930177,0.008607625,0.0,0.28767124,2
15,15,1,42.0,14.0,38.0,2.0,0.0,0.0,0.0,0.0,1.2056149,0.0,0.0,-5941.6953,15.666811,53.919662,53.919662,53.69761,53.61053,-1.0,-1.0,69.82813,1.7929184,0.028943535,0.95478624,1.0998544,-77.20618,15.908468,-1.0,0.0,0.0,0.038575284,0.0010114495,0.1322279,0.2961692,0.0,0.31506848,2
16,16,2,70.0,14.0,13.0,2.0,0.0,0.0,0.0,0.0,6.1379232,0.0,0.0,-15133.455,12.947329,18.446201,18.446201,18.860909,18.910904,-1.0,-1.0,21.509632,1.4003698,0.11613778,0.95535505,1.5097911,-17.663864,3.0634313,-1.0,0.0,0.0,0.069522694,0.005341072,0.047030367,0.3894518,0.0,0.33732876,2
17,17,3,98.0,14.0,10.0,2.0,0.0,0.0,0.0,0.0,10.46213,0.0,0.0,-30162.682,14.6941185,14.189385,14.189385,14.262476,14.418384,-1.0,-1.0,14.927241,1.0572532,0.20398507,0.8418147,2.0398507,-8.484633,0.737856,-1.0,0.0,0.0,0.092514485,0.009073285,0.04301211,0.3720594,0.0,0.36172944,2
18,18,4,126.0,14.0,10.0,2.0,0.0,0.0,0.0,0.0,11.967276,0.0,0.0,,,14.189385,14.189385,14.002704,14.32303,-1.0,-1.0,14.748005,1.0089562,0.27350324,0.7532261,2.7350326,-6.094814,0.55861956,-1.0,0.0,0.0,0.10708562,0.0108795585,0.0469495,,0.0,0.40282536,2
19,19,5,154.0,14.0,25.0,2.0,0.0,0.0,0.0,0.0,6.299426,0.0,0.0,,,35.473465,35.473465,34.941326,35.459877,-1.0,-1.0,39.316536,1.2099407,0.20042065,0.79849243,5.010516,-19.902042,3.8430727,-1.0,0.0,0.0,0.13391167,0.0055030887,0.10451842,,0.0,0.48672944,2
20,20,6,182.0,14.0,48.0,2.0,0.0,0.0,0.0,0.0,7.163464,0.0,0.0,,,68.10905,68.10905,65.44467,67.97575,-1.0,-1.0,82.84897,1.3704914,0.18948497,0.80496097,9.095279,-33.027813,14.739919,-1.0,0.0,0.0,0.20357157,0.0042164265,0.2684329,,0.0,0.58604455,2
0,0,0,14.0,14.0,15.0,2.0,0.0,0.0,0.0,0.0,11.142092,0.0,0.0,-35.919926,30.956509,21.284079,21.284079,18.97872,21.25335,-1.0,-1.0,26.354782,1.3104103,0.008490188,0.9874126,0.12735282,-24.571089,5.070704,-1.0,0.0,0.0,0.2095894,0.014010088,0.05200034,1.3578502,0.0,0.4552646,3
1,1,1,42.0,14.0,39.0,2.0,0.0,0.0,0.0,0.0,4.148385,0.0,0.0,1061.1249,107.68483,55.338604,55.338604,52.93398,55.16153,-1.0,-1.0,69.96563,1.384621,0.0060575106,0.9848616,0.23624292,-155.73126,14.627027,-1.0,0.0,0.0,0.16337591,0.0042096768,0.12520607,1.6194534,0.0,0.41680306,3
2,2,2,70.0,14.0,49.0,2.0,0.0,0.0,0.0,0.0,2.1189923,0.0,0.0,7477.813,154.27386,69.527985,69.527985,69.75149,70.39478,-1.0,-1.0,86.17122,1.261258,0.006856396,1.0285231,0.3359634,-195.09683,16.64323,-1.0,0.0,0.0,0.074603625,0.001506806,0.15149128,1.9276333,0.0,0.35515547,3
3,3,3,98.0,14.0,52.0,2.0,0.0,0.0,0.0,0.0,2.3047798,0.0,0.0,15682.331,177.55963,73.784805,73.784805,74.279884,74.248,-1.0,-1.0,84.93255,0.876918,0.013486814,1.0043283,0.70131433,-156.64757,11.147745,-1.0,0.0,0.0,0.08508563,0.0016266456,0.16101016,1.9632372,0.0,0.4116203,3
4,4,4,126.0,14.0,52.0,2.0,0.0,0.0,0.0,0.0,1.9785295,0.0,0.0,,,73.784805,73.784805,74.543564,74.007164,-1.0,-1.0,82.297325,0.5239707,0.031589977,0.9769626,1.6426789,-124.80868,8.512522,-1.0,0.0,0.0,0.10597561,0.002046937,0.16191791,,0.0,0.4278505,3
5,5,5,154.0,14.0,51.0,2.0,0.0,0.0,0.0,0.0,1.0807899,0.0,0.0,,,72.36587,72.36587,73.01832,72.37126,-1.0,-1.0,84.58734,0.47186506,0.05656737,0.9436441,2.8849359,-107.258064,12.221477,-1.0,0.0,0.0,0.06821609,0.0013140682,0.16210486,,0.0,0.48499727,3
6,6,6,182.0,14.0,56.0,2.0,0.0,0.0,0.0,0.0,1.5267708,0.0,0.0,,,79.460556,79.460556,79.99071,79.387535,-1.0,-1.0,97.98804,1.1137931,0.09906424,0.89832777,5.5475974,-70.03904,18.52748,-1.0,0.0,0.0,0.093979105,0.0016473975,0.17636938,,0.0,0.55701035,3
7,7,0,14.0,14.0,57.0,2.0,0.0,0.0,0.0,0.0,0.4016654,0.0,0.0,193.47592,96.78705,80.87949,80.87949,80.94808,80.74335,-1.0,-1.0,107.64088,1.9072231,0.024474248,0.9707485,1.3950322,-88.38214,26.761381,-1.0,0.0,0.0,0.0073213126,0.00012447783,0.17796323,1.7479793,0.0,0.4431818,4
8,8,1,42.0,14.0,71.0,2.0,0.0,0.0,0.0,0.0,0.91190135,0.0,0.0,3303.001,180.69182,100.74464,100.74464,99.946884,100.185104,-1.0,-1.0,131.76157,1.8335854,0.0289325,0.955306,2.0542076,-191.6395,31.01693,-1.0,0.0,0.0,0.031981837,0.00044865307,0.22913784,2.0430884,0.0,0.5066288,4
9,9,2,70.0,14.0,72.0,2.0,0.0,0.0,0.0,0.0,1.0541049,0.0,0.0,11042.246,195.97086,102.163574,102.163574,102.29336,102.5931,-1.0,-1.0,137.88916,1.9490964,0.04150484,0.9704265,2.9883485,-188.03142,35.725586,-1.0,0.0,0.0,0.0396512,0.000551767,0.23569489,2.1701117,0.0,0.5568182,4
10,10,3,98.0,14.0,68.0,2.0,0.0,0.0,0.0,0.0,1.4588268,0.0,0.0,22651.928,194.03844,96.48782,96.48782,96.18689,96.68744,-1.0,-1.0,128.67943,1.8943259,0.054305848,0.9515652,3.6927977,-147.71954,32.19161,-1.0,0.0,0.0,0.050762933,0.0007388877,0.22105597,2.2051363,0.0,0.5842803,4
