,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,4mean,class
4,30.0,2.0,94.0,2.0,0.0,0.0,0.0,0.0,1.0828015,0.0,0.0,1520.5968,244.23782,133.38022,133.38022,132.85507,133.31776,-1.0,-1.0,137.35596,1.0836012,0.6277787,0.37089178,59.0112,106.57164,3.975735,-1.0,0.0,0.0,0.034685664,0.00036853077,0.0343254,1.9821225,0.0,0.523832,2
0,14.0,2.0,33.0,2.0,0.0,0.0,0.0,0.0,9.217252,0.0,0.0,206.39081,78.745186,46.82497,46.82497,45.909534,46.505116,-1.0,-1.0,48.02975,1.0720111,0.08575312,0.8948616,2.829853,-37.36527,1.2047793,-1.0,0.0,0.0,0.160711,0.0048710844,0.021085564,1.7699434,0.0,0.52546,3
1,18.0,2.0,49.0,2.0,0.0,0.0,0.0,0.0,6.429295,0.0,0.0,372.22974,119.08388,69.527985,69.527985,68.501114,69.06594,-1.0,-1.0,72.007576,1.100228,0.09634056,0.8848003,4.7206874,-46.54069,2.4795878,-1.0,0.0,0.0,0.17929335,0.003660526,0.022565037,1.801891,0.0,0.517932,3
2,22.0,2.0,63.0,2.0,0.0,0.0,0.0,0.0,5.584963,0.0,0.0,617.5891,157.78456,89.39313,89.39313,88.3968,88.94475,-1.0,-1.0,91.59004,1.0687647,0.14094144,0.84482414,8.879311,-28.235483,2.1969144,-1.0,0.0,0.0,0.22492261,0.003565847,0.031650253,1.8442754,0.0,0.565984,3
3,26.0,2.0,75.0,2.0,0.0,0.0,0.0,0.0,3.7257373,0.0,0.0,954.7608,193.28503,106.42039,106.42039,105.63138,106.101524,-1.0,-1.0,109.21239,1.0736655,0.24909544,0.742401,18.682158,13.235175,2.7919972,-1.0,0.0,0.0,0.1743904,0.0023283898,0.038243085,1.8897278,0.0,0.606968,3
4,30.0,2.0,82.0,2.0,0.0,0.0,0.0,0.0,1.1790837,0.0,0.0,1379.0896,218.33131,116.35296,116.35296,115.88301,116.29531,-1.0,-1.0,117.66796,1.0316159,0.64710796,0.35148466,53.06285,94.89347,1.3150014,-1.0,0.0,0.0,0.03576188,0.00043559616,0.037386227,1.9297124,0.0,0.57726,3
0,14.0,2.0,45.0,2.0,0.0,0.0,0.0,0.0,6.001897,0.0,0.0,241.04395,100.23296,63.852234,63.852234,62.672947,63.408623,-1.0,-1.0,69.923805,1.2666394,0.071992405,0.9082915,3.239658,-61.428585,6.0715714,-1.0,0.0,0.0,0.16135177,0.003585425,0.02445212,1.8288772,0.0,0.449188,4
1,18.0,2.0,65.0,2.0,0.0,0.0,0.0,0.0,4.2892947,0.0,0.0,414.3346,149.3691,92.231,92.231,90.9753,91.58619,-1.0,-1.0,100.59304,1.2527335,0.085614726,0.8945446,5.564957,-69.85379,8.362036,-1.0,0.0,0.0,0.17576292,0.002704265,0.023438986,1.8452086,0.0,0.481628,4
2,22.0,2.0,81.0,2.0,0.0,0.0,0.0,0.0,3.9126275,0.0,0.0,688.2327,192.44789,114.93402,114.93402,113.705574,114.237076,-1.0,-1.0,122.56688,1.1836811,0.13341223,0.84937865,10.806391,-45.22701,7.6328583,-1.0,0.0,0.0,0.21768948,0.00268641,0.035773255,1.892928,0.0,0.503812,4
3,26.0,2.0,91.0,2.0,0.0,0.0,0.0,0.0,3.0657902,0.0,0.0,1053.7573,224.2229,129.12341,129.12341,128.19708,128.69556,-1.0,-1.0,135.7414,1.1419996,0.24458298,0.7460134,22.257051,10.719102,6.6179876,-1.0,0.0,0.0,0.1796365,0.0019761282,0.035219412,1.9385427,0.0,0.566156,4
