,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,4mean,class
4,20.0,2.0,71.0,2.0,0.0,0.0,0.0,0.0,7.627187,15.391986,12.733441,609.2021,169.49564,100.74464,100.74464,99.129105,100.22396,-1.0,-1.0,100.61603,0.992656,0.09455481,0.89077824,6.713392,-53.39257,-0.12860802,-1.0,0.0,0.0,0.35978156,0.005066939,0.05983216,1.926607,0.30147704,0.711712,1
5,22.0,2.0,79.0,2.0,0.0,0.0,0.0,0.0,7.599535,14.979179,12.816199,767.49554,191.66565,112.096146,112.096146,110.54916,111.66605,-1.0,-1.0,112.9404,1.0170013,0.119868785,0.8692422,9.469634,-40.548203,0.84425503,-1.0,0.0,0.0,0.4245188,0.0053732395,0.055782817,1.9475167,0.30200973,0.7070735,1
6,24.0,2.0,86.0,2.0,0.0,0.0,0.0,0.0,5.828216,14.526778,12.901695,956.5627,211.60701,122.02872,122.02872,120.87693,121.780815,-1.0,-1.0,122.81656,1.0135821,0.1614802,0.8327543,13.887298,-19.743654,0.78784496,-1.0,0.0,0.0,0.3630976,0.004215767,0.065565966,1.9725049,0.3082039,0.7011335,1
7,26.0,2.0,91.0,2.0,0.0,0.0,0.0,0.0,3.9503622,14.074217,12.983801,1166.7985,227.75104,129.12341,129.12341,128.42223,129.06923,-1.0,-1.0,131.65392,1.05078,0.21999091,0.7788181,20.019173,9.136343,2.530509,-1.0,0.0,0.0,0.2483057,0.0027279332,0.05873941,1.994283,0.31504378,0.694485,1
8,28.0,2.0,95.0,2.0,0.0,0.0,0.0,0.0,2.811009,13.681966,13.060575,1390.5879,241.67038,134.79916,134.79916,134.51523,135.01323,-1.0,-1.0,142.08382,1.1488092,0.3373819,0.66712433,32.05128,50.92847,7.284656,-1.0,0.0,0.0,0.16552512,0.0017409727,0.046056114,2.0101748,0.32398582,0.673746,1
9,30.0,2.0,98.0,2.0,0.0,0.0,0.0,0.0,1.2795434,13.379757,13.129707,1605.449,253.8038,139.05597,139.05597,138.99776,139.40338,-1.0,-1.0,146.69894,1.152675,0.5881016,0.41898695,57.63396,104.615105,7.6429677,-1.0,0.0,0.0,0.061673533,0.000632528,0.03989599,2.0135493,0.33149952,0.5991165,1
0,12.0,2.0,33.0,2.0,0.0,0.0,0.0,0.0,7.293868,15.311861,12.205007,188.6963,75.41496,46.82497,46.82497,45.619354,46.553864,-1.0,-1.0,49.472683,1.1594679,0.06879197,0.9147771,2.270135,-49.046078,2.6477113,-1.0,0.0,0.0,0.13002197,0.003937651,0.025087299,1.8557355,0.6185699,0.591386,2
1,14.0,2.0,43.0,2.0,0.0,0.0,0.0,0.0,6.1779943,15.512816,12.152753,260.6171,99.42183,61.01436,61.01436,59.59844,60.590584,-1.0,-1.0,63.808697,1.1277975,0.06708904,0.9132004,2.8848288,-56.13793,2.79434,-1.0,0.0,0.0,0.15257189,0.003547486,0.037272364,1.8621649,0.60406435,0.594729,2
2,16.0,2.0,52.0,2.0,0.0,0.0,0.0,0.0,6.8205667,15.458797,12.19204,355.96393,122.552055,73.784805,73.784805,72.21632,73.24375,-1.0,-1.0,77.046265,1.1222943,0.07442212,0.90476793,3.8699503,-61.53373,3.261461,-1.0,0.0,0.0,0.21139076,0.0040643765,0.037889414,1.8824332,0.60313445,0.587574,2
3,18.0,2.0,61.0,2.0,0.0,0.0,0.0,0.0,6.6744947,15.259504,12.268115,461.91364,145.90175,86.55525,86.55525,84.94046,85.93154,-1.0,-1.0,89.77716,1.1021733,0.08414378,0.89540684,5.1327705,-64.593636,3.22191,-1.0,0.0,0.0,0.26067904,0.0042782216,0.036704097,1.8941584,0.6056344,0.582888,2
