,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,mean,sum,class
7,26.0,2.0,39.0,2.0,0.0,0.1475723,3.7636204,25.50357,0.6302535,12.498115,12.216969,157.10909,82.42098,55.338604,65.94562,55.377865,55.33981,-1.0,-1.0,80.28159,2.1194677,0.25896248,0.7410995,10.099537,9.077736,14.335975,-1.0,10.607017,10.607017,0.010395624,0.00026802882,0.0556846,1.9233232,0.98912305,0.9927854,0.9927854,1
0,12.0,2.0,33.0,2.0,0.0,0.36399567,2.8805656,7.913736,1.0701221,19.471848,12.75815,133.19118,67.510826,46.82497,47.684082,46.70519,46.826897,-1.0,-1.0,55.402767,1.4386026,0.0031508529,0.9969659,0.10397814,-81.182625,7.718684,-1.0,0.8591114,0.8591114,0.013661328,0.00041441686,0.0049512098,2.369911,0.6930398,0.70651364,0.70651364,2
1,14.0,2.0,43.0,2.0,0.0,0.32821208,2.7316995,8.32297,0.9217419,19.67261,12.716293,179.62854,88.52857,61.01436,63.012783,61.07432,61.017677,-1.0,-1.0,72.83486,1.463667,0.00547005,0.9946843,0.23521215,-96.779015,9.822079,-1.0,1.9984261,1.9984261,0.0142404465,0.00033083718,0.0047596805,2.3818858,0.7400425,0.70164895,0.70164895,2
2,16.0,2.0,55.0,2.0,0.0,0.42713252,2.9149983,6.824576,0.783174,19.515299,12.75005,229.39214,112.658585,78.04162,81.91109,78.19712,78.04524,-1.0,-1.0,94.62708,1.5180382,0.010542764,0.989589,0.57985204,-116.012566,12.715999,-1.0,3.8694646,3.8694646,0.014181561,0.0002558061,0.005824664,2.3853555,0.781849,0.7152308,0.7152308,2
3,18.0,2.0,68.0,2.0,0.0,0.36832184,3.1210978,8.473833,0.65038145,18.865046,12.80958,281.3519,138.08214,96.48782,102.321754,96.84618,96.49193,-1.0,-1.0,117.68612,1.5434457,0.02002217,0.98009866,1.3615077,-137.9174,15.3643675,-1.0,5.833931,5.833931,0.012137649,0.00017837269,0.008096692,2.3731017,0.8191928,0.76570857,0.76570857,2
4,20.0,2.0,82.0,2.0,0.0,0.45438823,2.7708538,6.0979877,0.5857956,17.824175,12.874883,328.99017,163.52467,116.35296,126.048256,116.87639,116.35894,-1.0,-1.0,144.03018,1.6003276,0.03569625,0.9644492,2.9270926,-131.8303,17.981924,-1.0,9.695297,9.695297,0.014447926,0.00017593271,0.008449589,2.3596494,0.83797735,0.8342742,0.8342742,2
5,22.0,2.0,93.0,2.0,0.0,0.37728274,2.724063,7.2202163,0.59257567,16.362303,12.899536,360.32095,181.78125,131.96129,146.0447,132.53271,131.96808,-1.0,-1.0,165.37482,1.6470975,0.061813463,0.9383327,5.748652,-115.85029,19.330128,-1.0,14.083406,14.083406,0.017061163,0.00018351733,0.010368472,2.3148377,0.85737693,0.9197642,0.9197642,2
6,24.0,2.0,98.0,2.0,0.0,0.49751753,2.4138963,4.851882,0.5903077,14.794008,12.864739,356.59906,187.2008,139.05597,158.3736,139.49051,139.06429,-1.0,-1.0,178.46419,1.7402203,0.11401526,0.8861542,11.173495,-61.530018,20.090586,-1.0,19.317625,19.317625,0.01765651,0.00017832189,0.021183405,2.2351527,0.8606877,0.9717011,0.9717011,2
7,26.0,2.0,95.0,2.0,0.0,0.80000746,2.7882066,3.4852257,0.4640582,13.49732,12.802072,302.83514,178.53421,134.79916,157.89978,135.06485,134.80443,-1.0,-1.0,181.641,1.9242843,0.24701606,0.75309455,23.466526,22.401102,23.74122,-1.0,23.100626,23.100626,0.009633736,0.000103329,0.026098816,2.110084,0.76433116,0.9857628,0.9857628,2
0,12.0,2.0,34.0,2.0,0.0,0.3853911,2.9509528,7.6570344,0.8256059,19.66472,12.781583,136.38364,69.44301,48.24391,48.111084,48.187923,48.245647,-1.0,-1.0,55.653473,1.3109818,0.002892361,0.99721,0.09834027,-87.95905,7.5423894,-1.0,0.13282663,-0.13282663,0.009433814,0.00027838344,0.0064581227,2.3621404,0.6885639,0.723731,0.723731,3
